part_number,depth,height,length,weight
M30805P,84,16,72,2
M30806,80,16,39,9
M30806P,80,16,39,2
M30901,75,16,39,8
M30901P,75,16,39,2
M30902,75,16,54,12
M30902P,75,16,54,2
M30903,80,16,60,12
M30903P,80,16,60,2
M30904,80,16,76,12
M30904P,80,16,76,3
M30905,84,16,72,16
M30905P,84,16,72,3
M30906,80,16,39,8
M30906P,80,16,39,2
M31001,75,16,39,11
M31001P,75,16,39,2
M31002,75,16,54,14
M31002P,75,16,54,2
M31003,80,16,60,16
M31003P,80,16,60,3
M31004,80,16,76,20
M31004P,80,16,76,4
M31005,84,16,72,20
M31005P,84,16,72,4
M31006,80,16,39,11
M31006P,80,16,39,2
M51631,79.5,14,60,79
M51641,79.5,14,76,100.1
M52110,28,12,20,22.8
M52111,20,6,28,13.6
M52112,26,8,20,24
M52113,17,5,28,21
M52114,17,6,28,21
M52611,74,11,37,49
M52621,74,11,52,65
M52631,79,11,59,79
M52641,79,11,75,98
M52651,83,11,71,99
M52671,79,11,37,55
M61111,74,13.5,37,61.08
M61121,74,13.5,52,80.83
M61131,79,13.5,59,94.57
M61141,79,13.5,75,116.91
M61211,74,14,37,60.31
M61221,74,14,52,80.61
M61231,79,14,59,93.99
M61241,79,14,75,117.15
M62831,79,12,59,108.047
M62841,79,12,75,135.407
M62851,83,12,71,137.347
M62931,79,14,59,120.68
M62941,79,14,75,148.48
M62951,83,14,71,152.757
M69511,74.41,8,37.99,37.35
M69521,74.41,8,53.15,45
M69531,79.53,8,59.84,62.03
M69541,79.53,8,75.98,77.22
M69611,74.41,10,37.99,43
M69621,74.41,10,53.15,57
M69631,79.53,10,59.84,68
M69641,79.53,10,75.98,85
M69651,83.46,10,72.05,86
M69711,74.41,12,37.99,46
M69721,74.41,12,53.15,62
M69731,79.53,12,59.84,76
M69741,79.53,12,75.98,94
M69751,83.46,12,72.05,95
M71671,79,12,37,39.5
M71831,79,13,59,65
M71851,83,13,71,81.9
M74X12,74,9,37.5,35
M74X22,74,9,52.5,40
M74X32,79,9,59.5,45
M74X42,79,9,37.5,36
M75X12,74,5,37.5,30
M75X22,74,5,52.5,35
M75X32,79,5,59.5,40
M75X42,79,5,37.5,31
M78X12,74,5,38,29
M78X22,53,5,74,39
M78X32,79,5,60.58,43
M78X42,78.88,5.13,75.5,49
M78X72,78.5,5,38,29
M78X92,71.5,5,82.75,53
M82410,20,6,28,17
M82410P,20,6,28,1.7
M82411,20,6,28,8
M82411P,20,6,28,2
M82412P,18.5,6,26.5,2.4
M82413P,18,6,24,2.4
M82510,17.75,6.5,28,34
M82510P,17.75,6.5,28,3.4
M87411,74,10,37,48.81
M87421,74,10,52,62.37
M87431,79,10,59,72.53
M87441,79,10,75,88.26
M87451,83,10,71,85.15
M8X132,79,14,59,117.3
M8X142,79,14,75,151.8
M8X222,74.63,14.63,51.88,104
M8X232,79.63,14.63,58,114
M8X242,78.88,14.63,73.88,127
M8X252,83.75,14.63,70,125
M8X272,78.88,14.63,36.88,92
M8X332,79.25,15.38,59.75,163
M8X342,79.25,15.38,75.75,205
M8X352,83.25,15.38,71.63,206
M8X372,79.25,15.38,38,122
M91X12,74,14,37.5,22
M91X22,74,14,53,33
M91X32,79,14,59,37
M91X42,79,14,74,42
M95X42,79,9.88,75.5,55
M95X72,78.75,10,38,33
M96311,74,6,37,31
M96321,74,6,52,43
M96331,79,6,59,53
M98X12,73.88,9.88,38,32
M98X22,73.88,9.88,53,45
M98X32,79,9.88,59.63,48
M98X42,78.75,9.88,75.63,55
M98X72,78.88,9.88,38,33
M98X92,82.75,10,71.63,57
M9X732,79,15,59,117
M9X742,79,15,75,153
M9X752,83,15,71,167.2
M9X832,79,14,59,141
M9X842,79,14,75,182
M9X852,83,14,71,183
M9X872,79,14,37,106
M9X932,79,14,59,155.5
M9X942,79,14,75,198.2
M9X952,83,14,71,196
M9X972,79,14,37,120.1
M41011,74.5,12,38,48.1
M41021,74.5,12,53,66.6
M41031,79.5,12,60,80
M41041,79.5,12,76,101.3
M41051,83.5,12,72,100.8
M41071,79.5,12,38,57.4
M41111,74.5,12,38,50.5
M41121,74.5,12,53,69.9
M41131,79.5,12,60,84
M41141,79.5,12,76,106.4
M41151,83.5,12,72,105.8
M41171,79.5,12,38,60.2
M41211,74.5,13,38,55.9
M41221,74.5,13,53,77.4
M41231,79.5,13,60,93
M41241,79.5,13,76,117.8
M41251,83.5,13,72,117.2
M41511,74.5,14,38,65
M41521,74.5,14,53,89
M41531,79.5,14,60,104
M41541,79.5,14,76,130
M41551,83.5,14,72,131
M41611,74.5,14,38,65
M41621,74.5,14,53,89
M41631,79.5,14,60,102
M41641,79.5,14,76,128
M41651,83.5,14,72,129
M41721,74.5,14.75,53,99
M41731,79.5,14.75,60,116
M41741,79.5,14.75,76,145
M41751,83.5,14.75,72,145
M42511,74.5,10,38,42
M42521,74.5,10,53,58
M42531,79.5,10,60,69
M42541,79.5,10,76,88
M42551,83.5,10,72,87
M42611,74.5,12,38,43
M42621,74.5,12,53,60
M42631,79.5,12,60,71
M42641,79.5,12,76,91
M42651,83.5,12,72,90
M42731,79.5,14,60,89
M42741,79.5,14,76,112
M42751,83.5,14,72,111
M43011,74.5,7,38,9.72
M43021,74.5,7,53,13.2
M43111,74.5,7,38,9.72
M43121,74.5,7,53,13.2
M43511,74.5,12,38,51.12
M43521,74.5,12,53,70.76
M43531,79.5,12,60,85
M43541,79.5,12,76,107.67
M43551,83.5,12,72,107.1
M43571,79.5,12,38,63.21
M43621,74.5,13,53,75.75
M43631,79.5,13,60,91
M43641,79.5,13,76,115.27
M43651,83.5,13,72,114.66
M43731,79.5,14,60,105
M43741,79.5,14,76,133
M43751,83.5,14,72,132.3
M43831,79.5,12,60,85
M43841,79.5,12,76,107.67
M44511,74.5,6,38,30.06
M44521,74.5,6,53,41.63
M44531,79.5,6,60,50
M44541,80,6,76,63.33
M50531,79,14,59,98
M50541,79,14,75,128
M50551,83,14,71,128
M50571,79,14,37,75
M50631,79,15,59,98
M50641,79,15,75,128
