part_number,depth,height,length,weight
B775-96,80.63,14.38,62.88,31
B775-97,80.63,14.38,78.88,35
B775-99S,80.63,17.75,79.13,88
B777-157,4.25,68,68.5,74
B777-158,4.25,68,84.5,88
B777-31,18,40.75,64,212
B777-36,3,38,45.5,39
B777-46,18,51.75,38,196
B777-54,4.5,18,67,27
B777-54S,13,20.63,66,70
B777-56,4.5,18,83,34
B777-56S,13,20.63,82,84
B777-57,4.25,68,68.5,71
B777-58,5,68,84.5,87
B777-93,17,27.88,28.13,55
B777-94,86,13.5,79,47.25
B777-96,82,13.5,63,36
B777-97,82,13.5,79,40
B783-09,13.88,17.13,52,23
B783-31,18.13,40.88,55.25,195
B783-36,1,32.38,43.13,35
B783-46,18.13,52.13,38,165
B783-81,6,54,69.38,102
B783-82,6,54,85.5,118
B783-93,17,26.13,26,64
B783-94,85.88,12.75,80.5,47.6
B783-97,81.88,12.75,80.5,46
B784-31,18,35.63,62,163
B784-36,1.75,38.63,39.38,34
B784-46,18,53.63,39.13,160
B784-54S,21,17.63,63.88,47
B784-56S,21,17.63,80,56
B784-57,2.75,60.13,65,85
B784-58,2.75,60.13,80.88,97
B784-94,11.25,3.75,86.75,53.5
B784-97,0.88,11.13,80.5,42
B787-31,18,39,65,165
B787-36,1.5,35,40,37.4
B787-46,18,54,40,140.8
B787-54,8.5,19,67.5,58
B787-56,8.5,19,83.5,66
B787-57,8,65,70.5,115
B787-58,8,65,86.5,132
B787-93,18,28.5,26,59.4
B787-94,87.5,16.75,82.5,73
B787-97,83.5,16.75,82.5,70.4
B788-36,3,37.75,45.5,33
B788-54S,12.88,20.75,65.75,72
B788-57,4.25,68,68.5,64
B788-94,86,13.5,79,48.95
B790-31,18,36.75,65,254
B790-36,1.5,36.88,40,38
B790-46,18,50.63,36,197
B790-81,3.38,46,63,99
B790-82,3.38,46,79,117
B790-92,15.88,26,24,73
B790-94,84,12.5,78.75,66.79
B790-96,80.5,12.75,63,54
B790-97,80.5,12.75,79,59
B792-36,1,33.5,38.38,31
B792-54,83.75,16.5,65.13,62
B792-56,83.75,16.38,81.13,62
B792-58,3,68,81,109
B792-94,87.75,16.38,81.13,72.6
B796-31,18,35.63,62,201
B796-36,1.63,38.5,39.38,37
B796-46,18,53.63,39.13,200
B796-54,2.25,17.63,64,40
B796-56,2.25,17.63,80,47
B796-57,8.25,68.13,65,84
B796-58,8.25,68.13,81,98
B796-92,18,26.38,26,53
B796-94,83.38,14,78.38,36.5
B796-97,19.38,14,78.38,25
B799-31,19.25,39.38,65,178
B799-36,2.88,38.63,40.25,43
B799-46,19.13,58.25,39.63,149
B799-54,4.38,25.63,68.13,44
B799-56,4.75,25.63,83.75,52
B799-57,5.88,62,68,86
B799-58,5.75,62.13,84,90
B799-91,18.25,29.63,25.25,83
B799-94,82.13,17,79.75,43.25
B799-96,78.25,17,63.88,37
B799-97,78.13,17,79.75,37
B803-31,19.75,39,73.5,240
B803-36,4.25,45,45,54
B803-46,19.75,54.5,42,180
B803-54,5.5,24.25,67.5,61
B803-56,5.75,24.25,83,73
B803-57,8,72.38,64.25,94
B803-58,8,73,80.25,110
B803-92,19.75,30.25,32,92
B803-94,84.25,13.63,79.5,53.75
B803-96,80.25,13.25,63.38,39
B803-97,80.25,13.63,79.5,40
B813-76,5,25.13,84.88,63
B813-78,10,64,80.88,106
B813-94,86,13.75,78.63,43.35
B813-97,82,13.75,78.63,38
B821-31,18,38.38,63.75,229
B821-36,1.63,38.13,41,40
B821-46,18,57.38,40.13,215
B821-54,86,17.38,62.88,83
B821-56,86,17.38,78.88,94
B821-57,4.88,58.13,64.5,82
B821-58,4.88,58.13,80.38,96
B821-91,18,26.75,26,53
B821-94,90,17.38,78.88,104.4
B822-31,20,37.75,64,231
B822-36,21.5,39.5,41.63,44
B822-46,20,57.63,42.25,225
B822-54S,20.75,18,63.5,110
B822-56S,20.75,18,79.5,132
B822-57,4.63,68,63,78
B822-58,4.63,68,79,92
B822-92,19.13,26.75,27.63,70
B822-94,85,17,78.5,37.4
B822-97,81.13,16.88,78.5,44
B833-31,19,40,62,191.4
B833-36,1.5,35,42.5,41.8
B833-46,19,56,42,200.2
B833-54,5.5,15,64.75,50.6
B833-56,5.5,15,80,55
B833-57,86.5,54,64.75,118.8
B833-58,86.5,54,80.75,176
B833-92,19,27.5,26.5,70.4
B833-94,84.25,5.25,80,30.8
B833-97,80.5,5.25,80,28.6
B841-31,20,42.75,65.5,229
B841-36,3,33.13,46.75,46
B841-46,20.13,57.5,42.13,203
B841-54,84.5,23.25,64.5,106
B841-56,84.5,23.25,80.5,122
B841-57,4,63.38,64.88,106
B841-58,4,63.38,81,124
B841-92,18.25,26.75,29,73
B841-94,88.5,23.25,80.5,131
B844-31,19.25,44.25,63.75,198
B844-36,2,34,46.13,37
B844-46,19.25,58.25,42,167
B844-54S,22.13,21.75,65.5,65
B844-56S,22.13,21.75,81.5,77
B844-57,3,68.13,65.5,111
B844-58,3,68.13,81.5,131
B844-93,18.25,26.63,28.13,62
B844-94,84.88,18.88,79,63
B844-97,80.88,18.88,79,52
B895-31,19,42,62,257.4
B895-36,1.5,33,44,48.4
B895-46,19,54.25,38,215.6
B895-54,3,16,63.5,88
B895-56,3,16,79.5,112
B895-57,3.75,62,63.25,48.4
B895-58,3.75,62,79.25,55
B895-93,18,30,27,88
B895-94,86,10,80.25,121
B916-31,19.13,42.13,68,201
B916-36,3.75,38.5,51.38,53
B916-46,19.13,56,42,161
B916-54,6,30,65.38,109
B916-56,6,30,81.63,125
B916-57,7.25,72.13,68.88,137
B916-58,7.25,72.13,85,156
B916-93,19.13,28.75,29,78
B916-94,86.25,18,80.5,57.2
B916-97,81.5,18.25,78.38,46
B924-31,21.88,42,69.38,266
B924-36,1.75,31.88,46,37
B924-46,20.63,58,42,204
B924-54,83.88,26.25,64.5,82
B924-56,83.88,26.25,80.5,92
B924-57,7,62,69.5,78
B924-58,7,62,85.5,93
B924-93,20.63,26.5,28,78
B924-95,87.88,26.25,80.5,101
B944-31,20,38.75,73.5,259.6
B944-36,3.5,42.5,45.75,59.4
B944-46,20,54.5,42,200.2
B944-54,11,34.5,66.5,114.4
B944-56,11,34.5,82.5,118.8
B944-57,14,69.5,66.5,134.2
B944-58,14,69.5,82.5,145.2
B944-93,20,30,32,59.4
B944-94,85,12,81.5,68.2
B944-97,80.75,12,81.5,63.8
B947-31,20.75,42.63,71.5,196
B947-36,6,44.25,54.13,67
B947-46,20.75,54,43.5,157
B947-54,5.5,32,69.5,81
B947-56,5.5,32,85.38,95
B947-57,7.38,81.63,70.13,114
B947-58,8.13,83.38,85.38,138
B947-93,19.88,29.5,33.5,86
B947-94,85.75,18,78.25,46
B947-97,81.88,18,78.25,42
B950-31,19.13,32.25,70,195
B950-36,1.5,41.25,37.13,53
B950-46,19.13,50,36,156
B950-54,83.5,15.75,64.38,95
B950-56,81.75,15.38,80.63,103
B950-57,2,55.5,65.75,70
B950-58,2,55.5,81.5,84
B950-92,17.13,26.88,28.13,66
B950-94,85.75,15.38,80.63,109.25
B970-31,20,41.5,72,183
B970-36,1,34,50,44
B970-46,20,57.5,43.5,148
B970-54,82.5,16,65.25,79
B970-56,82.5,16,81.25,89
B970-57,5.75,60,65.63,70
B970-58,5.75,60,81.63,85
B970-74,82.25,16,64.75,92
B970-76,82.25,16,80.75,95
B970-77,10,58,65.13,73
B970-78,10,58,81.13,93
B970-91,20,29.13,29,75
B970-94,86.5,16,81.25,98.8
B970-95,86.25,16,80.75,106.2
B974-31,20.13,39.88,72,235
B974-36,2,34.25,50,49
B974-46,20,60,42,219
B974-50,21.25,11,53.38,132
B974-54,2.75,19.38,65.38,61
B974-56,2.75,19.38,81.38,80
B974-57,2.75,63.38,65.38,106
B974-58,2.75,63.38,81.38,127
B974-74,90.75,14.75,67.75,80
B974-76,90.75,14.75,83.75,82
B974-77,7.5,50,68.75,144
B974-78,7.5,50,84.75,171
B974-92,19,26.88,29.13,70
B974-94S,84.63,11.75,80.38,60
B974-95,94.75,14.75,83.75,90
B974-97S,80.63,18.75,80.38,40
B980-31,21.13,37.63,72.13,233
B980-36,1.88,38.88,48,41
B980-46,21,55.5,43.13,201
B980-54,4.5,26,66.5,66
B980-56,4.5,26,82.5,80
B980-57,7.88,71,68,93
B980-58,7.88,71,84,114
B980-93,21,29.5,33,97
B980-94,86.63,14,78.38,36.1
B980-97,82.63,14,78.38,31
B983-31,19,36.5,69.13,165
B983-36,1,40,38.75,38
B983-46,19,57.75,40,145
B983-54,2,28,64.13,44
B983-57,3.5,60,64.25,52
B983-58,3.38,60,80.13,60
B983-74,2,28,64.25,36
B983-76,2,28,80.13,45
B983-77,2,60,64.25,61
B983-78,2,60,80.13,74
B983-94,86.38,14.75,79.38,67.6
B983-95,85.13,13.88,79,47.6
B983-96,82.38,15,63.88,55
B983-97,82.38,14.75,79.38,58
B983-98,81,15,64,36
B983-99,81.13,13.88,79,39
B984-31,19.13,36.5,69.13,164
B984-36,1,40,38.75,36
B984-46,19.13,58.13,40,144
B984-54,2,28,64.25,44
B984-56,2,28,80.13,56
B984-57,2,60,64.13,65
B984-58,2,60,80.25,81
B984-93,19.13,28.13,32,83
B984-94,86.38,14.5,80,63.85
B984-96,82.38,14.5,63.88,54
B984-97,82.38,14.5,80,56
B989-31,20,41.5,71,297
B989-36,2.13,33.13,48.88,42
B989-48,19.88,61.38,45.13,283
B989-54S,21,17.88,63.5,57
B989-56S,21,17.88,79.5,65
B989-57,2.38,63,64.13,77
B989-58,2.38,63,80.25,93
B989-92,19.88,26.88,27.13,65
B989-94,85.25,17.88,79.25,124.7
B989-96,81.25,17.88,63.38,105
B989-97,81.25,17.88,79.25,117
D109-124,16.25,24,16.25,11
D109-130,16.25,30.25,16.13,12
D109-224,16.25,24,16.25,13
D109-230,16.25,30.25,16.13,13
D119-130,19.5,35.13,19.5,17
D119-230,19.5,35.13,19.5,17
D119-530,19.75,42.5,19.75,21.5
D119-630,19.75,42.5,19.75,20
D120-130,18,45,16.25,15
D120-230,18,45,16.25,15
D120-330,19,43.25,17.75,20
D120-530,18,48,19.88,21
D120-630,18,48,19.88,21
D120-830,18,45,16.25,14
D121-130,21,45,18,15
D121-730,18.5,42.5,15.5,13
D121-830,18.5,42.5,15.5,13
D130-124,20.5,40.5,18.13,14
D130-130,20.5,45.5,18.13,12
D130-224,20.5,40.5,18.13,12
D130-230,20.5,45.5,18.13,12
D154-223,42.13,36,42.13,123
D163-223,42.13,36.13,42.13,124
D194-01,20.75,38.75,18.63,16
D194-15,42.75,30,42.75,44
D200-02,20,32.38,18.25,8.25
D200-230,18.89,43.7,18.11,11
D205-13,36,36.13,36,43
D225-124,21.75,34.5,19,12
D225-230,21.88,40,19.88,12
D225-330,21.88,40,19.88,12
D250-01,21.75,38.25,17.75,12.5
D250-02,21.75,38.25,17.75,12.5
D250-05,21.5,38,17.88,12
D250-06,23.5,37.88,17.5,11
D250-25,23.75,29.75,45,31
D261-01,22,37.75,17.75,15
D261-225,36,30,36,110
D262-01,22.63,34.25,18.38,12
D262-15,39.38,30,39.38,70
D270-130,14.25,30.75,19.75,12
D270-230,14.25,30.75,19.75,12
D271-124,20.13,33,18.75,19
D271-224,20.13,33,18.75,19
D275-01,23,35.75,18.13,12
D275-02,23.13,35.63,18.13,12
D275-15,47.25,30.25,47.25,62
D275-624,17,29,18,13
D275-630,17,35,18.5,14
D275-724,17,29,18,13
D275-730,17,35,18,14
D282-124,18,37.63,18,14
D284-113,17.75,36.25,54,64
D286-00,16,19,49,36
D286-01,21.5,38.75,16.75,36
D286-35,66,30.25,36,131
D287-01,19.75,37.5,17.25,15
D287-15B,30.25,27.63,30.25,16
D287-15T,42.13,2.63,42.13,35
D291-00,16,18.5,49,41
D291-01,22.88,39.13,20.25,17
D291-13,42,36,42,67
D291-25,60.13,30,36,75
D291-26,36,30.25,66.13,133
D292-01,23,35.25,19.25,28
D292-15,47,30,47,66
D294-124,24,40.5,20.25,18
D307-130,19.5,29,19.5,10.5
D307-224,18.13,23.63,18.13,10
D307-230,19.25,29,19.25,11
D307-324,18.25,23.5,18.25,10
D307-330,19.38,29,19.38,11
D310-01,21.5,39.63,17.25,13
D310-15,36,30.13,36,32
D324-01,25.25,39,18.13,16.5
D324-02,25.25,39,18.13,16.5
D324-03,25.25,39,18.13,16
D329-01,23,40.38,20,18
D329-15,44.25,31.25,44.25,75
D334-024,18.5,27.25,18.5,14
D334-124,18.5,40.5,18.5,21
D334-52,16,35.5,72,45
D335-01,21.13,38.13,17.88,16
D335-15,40.13,29.88,40.13,48
D335-425,36,30.25,60,179
D336-024,18.5,27.25,18.5,15
D336-124,18.5,40.5,18.5,20
D336-52,16,35.5,72,45
D338-223,42,36,42,139
D368-425,60,30,36,147
D372-01,21.5,30.75,18.75,14
D372-06,21.5,30.75,18.75,13
D372-07,21.5,30.75,18.75,13
D372-08,21.5,30.75,18.75,14
D372-124,21.5,34.5,18.75,14
D372-130,21.5,39.25,18.75,15
D372-15,45.38,30.5,45.38,55
D372-16,42,30.13,42,48
D372-23,41.88,36,41.88,61
D372-624,21.5,34.5,18.75,11
D372-630,21.5,39.25,18.75,14.5
D372-724,21.5,34.5,18.75,14
D372-730,21.5,39.25,18.75,14.5
D372-824,21.5,34.5,18.75,14
D372-830,21.5,39.25,18.75,15
D374-01,22.25,37,18,15
D374-15,50,29.38,50,73
D380-424,20.75,38.88,19,25
D380-430,21.75,44.25,20,27
D380-524,20.5,38.75,19,25
D380-530,23.63,44.25,19,26
D380-624,20.5,39,19,25
D380-630,21.88,44.5,19,26
D380-724,23,37.5,23.63,27
D380-730,24,43.5,22.5,34
D380-830,22,43,23,34
D380-924,23,37.5,23.63,27
D380-930,22.5,43.5,24.25,29.5
D382-325,36,30,60,135
D383-223,42.13,36,42.13,120
D383-325,60.13,30,36,137
D384-223,42,36,42,126
D384-325,60,30.13,36,138
D385-223,42,36,42,126
D385-325,60,30.13,36,139
D388-024,16.13,24.38,21.25,12
D388-113,36,36,30,101
D388-124,21.5,40.13,18.75,18
D388-13,30,36,60,93
D388-223,17.38,36.13,74.13,100
D388-224,18.5,37.25,19,26
D388-230,20.38,43.38,19.25,28
D388-423,36,36,60,194
D388-425,60,29.75,36,174
D393-124,20.38,40.13,18.88,21
D393-13,30,36,60,92
D393-425,60,29.88,36,182
D394-00,15,18.5,48,36
D394-01,21.5,38.63,17.75,18
D394-024,16.25,24,21.25,13
D394-113,30,36,36,96
D394-124,21.25,41,18.38,19
D394-25,66,30.25,36,124
D394-32,30,36,60,97
D394-423,36,36,60,178
D394-425,60,30,36,168
D396-01,22.25,37.5,17,14
D396-124,21.5,41.38,17,17
D396-13,30,35.75,60,84
D396-15,42.38,30.5,42.38,42
D396-223,41.88,36.13,41.88,130
D396-325,36,30.25,60,146
D397-024,16.25,24,21.38,12.5
D397-113,30,36,36,99
D397-124,21,40.63,18.5,16
D397-32,60,36,30.13,97
D397-425,59.88,30,36,186
D398-01,22.25,37.5,17,14
D398-124,21.5,41.38,17,17
D398-13,30,35.75,60,84
D398-15,42.38,30.5,42.38,44
D398-223,41.88,36.13,41.88,126
D398-325,36,30.25,60,143
D399-01,19.5,38.38,17,18.7
D399-124,21.5,41.38,17,20.9
D399-13,30,36,60,96.8
D399-15,42,30.63,42,44
D399-223,41.88,36.13,41.88,130
D399-325,36,30.25,60,146
D401-01,19.5,38.38,17,18.7
D401-124,21.5,41.38,17,20.9
D401-13,30,36,60,96.8
D401-15,42,30.63,42,45
D401-223,41.88,36.13,41.88,130
D401-325,36,30.25,60,146
D402-024,15,27,16.5,17
D402-52,17.25,35.75,70.13,76
D406-01,19.63,29,21.88,13
D406-230,24.5,40.75,22,15
D407-01,19.63,29,21.88,13
D407-124,23.13,35.25,21.75,14
D407-130,24.5,40.75,22,15
D407-15,36.13,30.13,36.13,37
D407-25,34,30,55,53
D413-225,42,30.25,42,115
D413-425,36,30.13,60,163
D422-223,42,36.13,42,134
D422-225,42,30.13,42,121
D422-325,36.38,30,60.38,147
D423-223,42,36.13,42,132.55
D423-225,42,30.13,42,121
D423-325,36.38,30,60.38,147.4
D425-223,42,36.25,42,134
D425-225,42,30.25,42,120
D425-325,36.38,30.13,60.38,147
D426-223,42,36.38,42,127
D426-225,42,30.25,42,116
D427-02,21.5,33,21.5,26.4
D427-15,45,30,45,57.2
D429-02,21.5,33,21.5,26.4
D429-15,45,30,45,57.2
D434-124,21.38,36.75,17.13,17
D434-130,21.38,41.75,17.13,18
D434-224,21.38,36.75,17.13,17
D434-230,21.38,41.75,17.13,18
D440-024,18.25,24,18.25,15.5
D440-224,18.25,24,18.25,13
D440-324,18.25,24,18.25,12
D440-52,16.13,36,72.13,67
D446-02,23.5,35,19.5,7.165
D446-15,42,30,42,35.27
D449-02,21.5,37,18.25,16
D449-02A,21.5,37,20.5,20
D449-25,31.5,30.13,63,71
D466-224,22.5,41.5,18.38,19.5
D466-230,22.5,47.5,18.38,21
D469-124,20.88,42.63,18.25,27
D469-13,60,35.75,36,100
D469-323,20.63,42.63,37.25,46
D470-324,21.5,38.13,17.5,18
D470-330,21.5,43.63,17.5,20
D470-424,21.5,38.13,17.5,19
D470-430,21.5,43.63,17.5,20
D476-01,23.75,36,19.5,16.5
D476-15,48,30,48,77
D489-32,48,36,48,74
D494-01,22.5,35,18.5,16.5
D494-25,38,30,66,99
D496-01,24,35,19,19.25
D496-25,39,30,94.5,134.2
D501-02,20.5,31,20.75,11
D501-25,36,30,60,79.9
D502-01,20,37.63,18.25,16
D502-15,42,30.25,42,52
D508-124,14.5,23.5,14.5,13
D508-130,14.5,29.5,14.5,14.5
D508-224,14.5,23.5,14.5,13
D508-230,14.5,29.5,14.5,14
D508-324,14.5,23.63,14.5,13
D508-330,14.5,29.5,14.5,14
D511-00,14,17.75,42,28
D511-01,21,37,17.13,14
D511-25,36,30,60,78
D530-01,28,42.5,20.25,17
D530-02,29,42,20.25,18
D542-124,19.25,36.88,19.25,28
D542-130,19.5,42,19.5,28
D546-01,21.88,39,19.5,19.5
D546-124,19.25,24,19.25,20
D546-13,30,36,60,74
D546-130,19,30.25,19,11.5
D546-224,17.5,24,17.5,16
D546-230,17.5,29.75,17.5,17
D546-23B,36,34,36,30
D546-23T,48,2.38,48,57
D546-32,40,36.13,60,178
D546-324,19,24,19,20
D546-33,30,36,60,74.8
D546-330,19,30.25,19,22
D546-35,86,30.13,36,119
D546-424,19.5,37,19.5,27
D546-430,19.5,43,19.5,27
D546-50B,42,28.13,42,40
D546-50T,54,2.5,54,70
D546-524,19.25,36.88,19.25,27
D546-530,19.25,42,19.25,28
D546-60,18,38,60,142
D546-624,19.75,37.25,16.75,26
D546-630,19.25,43.25,19.25,28
D546-724,21.13,39.13,19.38,20
D546-824,19,24,19,20.57
D548-024,15,25.25,17.5,18
D548-030,15.38,30.63,17.5,20
D548-424,15,25.13,17.25,15
D548-430,15.5,30.63,17.5,21
D548-524,15,25.25,17.5,19
D548-530,15.38,30.63,17.5,20
D580-00,14,17.75,42,19
D580-02,22.25,37.75,17.75,15.5
D580-25,60,30,35.75,71
D583-00,14,17.88,42,21
D583-02,22.25,37.75,17.75,15.5
D583-25,60.13,29.88,35.88,64
D583-59,20,35.63,48,94
D589-00,15.75,19.13,50,25
D589-01,22.5,40.38,19.38,19
D589-124,20.5,40.75,17.75,17
D589-35,78.13,30.13,42,121
D589-42,60.25,36,42,123
D589-60,18,38.25,56,120
D594-00,16.25,18.5,49.75,24
D594-01,22.63,40.25,19.5,16
D594-124,20.75,40.5,18,19
D594-35,78.13,30,42,130
D594-42,60,36,42.13,132
D594-60,18,38.25,56,115
D596-00,15.75,18.75,49.75,27
D596-01,24,40.5,19.38,19
D596-124,20.88,40.5,18.25,19
D596-35,78.13,30.13,42.13,133
D596-42,60.13,36,42,133
D596-60,18,38.13,56,137
D597-00,16.25,18,50,33
D597-01,22.25,38.38,19,17
D597-35,78,30,42,127
D601-01,22,38.5,19.25,6.5
D601-25,40,30,72,118.8
D615-00,15.13,19.75,59.25,34
D615-01,25.13,36.5,18.5,17
D615-02,25.13,36.5,18.5,17
D615-03,25.13,36.5,18.5,17
D615-04,25.13,36.5,18.5,17
D615-05,25.13,40,20.13,16.5
D615-124,19.75,28.75,19,15
D615-13,36,36,36,38
D615-15,45,29.75,45,57
D615-224,19.75,28.75,19,16
D615-324,19.75,28.75,19,16
D615-35,64,29.75,36,89
D615-424,19.75,28.75,19,16
D615-45,92,30.25,42,132
D615-60,18,36.25,56.13,124
D618-01,22,39.5,20,19.8
D618-35,40,30,90,162.8
D620-223,32,36,45,137
D622-01,23.75,37.5,19.5,20.54
D622-35,40,30,98,150.7
D623-223,32,36.13,45,140
D629-00,17.25,19,46.5,24
D629-01,24,38.25,20,18
D629-09,17.25,24.63,48.63,30
D629-124,22.75,42,19.5,19
D629-32,85.75,35.88,36,169
D629-45,86,30,36,152
D629-60,18,36,56,171
D631-00,16.63,19.63,48.25,29
D631-01,23.5,39,19.38,19
D631-09,16.88,24.75,48.5,28
D631-124,24.38,41.5,19.5,21
D631-32,86,36,36,181
D631-45,86,30.13,36,161
D631-60,18,36.13,56,161
D634-00,16,19.25,48,36
D634-01,23.25,39,19,17.5
D634-124,22,41.25,19,17.6
D634-13,38,36,60,125.4
D634-35,78,30.13,40,143
D642-00,16.5,19,48,22
D642-01,23,38.75,19,18.7
D642-09,17.25,24.5,48.75,28
D642-124,23,42,19.88,19.5
D642-32,86,36,42,160
D642-45,42,30,86,171.6
D642-60,18,36.13,56,156
D647-00,15.13,19.5,50.13,36
D647-01,25.25,39.75,19.75,19
D647-02,25,40.75,23,23
D647-024,16.38,24,20.75,15
D647-08,16.25,19.5,65,27
D647-09,15.13,24,42,32
D647-124,23.5,42.13,19.75,20.95
D647-13,64.25,35.88,64.25,126
D647-25,72,30.75,40,144
D647-32,60,36.25,40,194.59
D647-55B,55.5,26,29.75,64
D647-55T,103.25,2.5,48,160
D647-60,18,36,57.75,161
D647-76,14.38,75,25.38,110
D679-13,40.13,36.13,40.13,112
D683-02,23.75,40,19,19.8
D683-35,40,30,90,129.8
D683-60,17.5,36,56,105.6
D702-01,28.38,43,23,24
D702-02,25.13,42,22,26
D702-124,24.75,41.75,22,27
D702-224,24.75,41.75,22,27
D702-25,71.88,29.63,42,101
D702-32,30,36,60,83
D706-50B,12.25,25.13,12.25,22
D706-50T,46,1.5,46,61
D728-04,28.25,40.13,20.5,16
D731-01,24.13,38.25,20,17
D731-35,88,30.13,42.13,149
D731-60,18,32,60.13,137
D736-00,15.25,19.25,50,35
D736-01,25.5,39.75,19.63,18
D736-02,24,40.75,23,23
D736-09,15.13,24.25,42,33
D736-124,23.75,42.25,19.5,20
D736-25,71.88,30.88,39.88,137
D736-32,60,36.25,40,187
D736-60,18.13,36.13,58,155
D736-76,15.63,75.13,28,106
D743-01,24.75,40.88,20,18
D743-02,24,40.38,19.5,19
D743-024,17.5,24,17.5,18
D743-030,19.63,29.75,19.63,10.5
D743-124,24.75,40.38,19.75,18
D743-35,71.88,30.13,48.25,101
D743-45,96,30,42.25,142
D743-60,17,36.5,59,137
D747-13B,26.88,19.88,19.38,36
D747-60,19.75,34.75,59.88,178
D751-01,22.5,40.38,17,18
D751-124,24,40.5,19.5,18.5
D751-13,60,36,36,111
D751-35,48,30.25,72,105
D751-60,17,36.13,59,132
D753-01,23.5,37.88,19.13,18
D753-25,42,30.25,82,132
D754-01,24.63,39.88,20.75,16
D754-05,25,39.75,20.38,16
D754-125,42,30.25,76,120
D754-50T,60,3.38,60,112
D754-80,17.63,35.25,61,118
D770-01,25.5,42,19,19
D770-02,27.5,42.5,23,27
D770-45,106.25,30.38,40,206
D770-60,16,32.13,64.13,141
D773-09,17.5,25.63,72.5,49
D773-124,24.25,42,20.5,20
D773-32,108,36.25,41.75,180
D773-60,19,36.13,65.88,177
D775-01A,25.5,39.25,23,27
D783-01,24.5,37.5,20,15
D783-50,59.88,30.13,59.88,145
D784-09,16.75,24.5,48,29
D784-124,23.88,42,19.5,21
D784-32,86,36,35.88,140
D787-01,22.25,38.5,19.75,13.2
D787-02,24.25,38.5,21,19.8
D787-35,42,30,86,189.2
D787-60,18,38.5,56,156.2
D789-01,22.5,35.25,18.5,16.5
D789-125,40,30,72,220
D790-01,21.25,34.75,17.75,17.5
D790-02A,24,34.25,20.5,44
D790-35,35.5,30,70,133.34
D790-50,54,30.5,54,141
D790-66,20,45,32,110
D796-00,15,18,62,37
D796-01,23,41.38,19.5,19.5
D796-25B,27.25,27.25,27.25,44
D796-25T,40,3.5,78,83
D799-124,24.13,41.25,19.5,19
D799-32,40,36,60,155
D799-76,15.63,75,25.25,100
D803-01,25.25,43.5,22.63,26
D803-01A,23.75,43.5,26.25,30
D803-55B,27,25.5,27,59
D803-55T,106.5,3.38,43.63,137
D803-80,18,34,69.13,169
D803-81,19.25,56,67,220
D813-00,16,19.25,66,45
D813-01,24.13,42,19.63,16
D813-02,22,41.75,19.75,14.5
D813-55B,50.75,25.63,29.75,62
D813-55T,103.25,2.75,48,158
D813-60,18,35,62.18,143
D821-01,23.5,34.5,20,17
D821-02A,22.75,32,25.25,32
D821-25,42,30.25,86.25,139
D821-60,17.13,35.13,74.13,159
D822-01,25.5,37.25,22,19.8
D822-35,42,30,96,209
D822-60,18,38.25,56,136.4
D833-01,22.5,36.5,19,17.6
D833-35,40,30,90,169.4
D833-60,16,37,60,143
D841-01,23.25,37,20.5,18
D841-02A,22.38,35.13,22.13,22
D841-03,25,38.5,19.75,21
D841-04,25,38.5,19.75,21
D841-35,108,30.13,44.5,186
D841-45,78,29.75,44,157
D841-60,18,38.25,56,131
D841-80,18.13,40.13,54,153
D841-81,13.75,40.5,54,108
D844-01,20.63,40.25,19.25,21.5
D844-08,20.38,40.5,52.88,43
D844-25,42,30.88,85.88,180
D844-60,19,37.25,60,186
D844-61,10.88,46,58.25,69
D872-01,20,34,19.5,19.8
D872-25,38,30,72,168.08
D924-00,16.25,19.38,63.13,39
D924-01,24.13,40.75,20.25,23
D924-55B,29.38,26,57.13,56
D924-55T,95.75,4.25,40.13,135
D924-60,17.25,36,59.88,165
D947-00,17.5,20.25,63.25,51
D947-01,26,44,21.5,23
D947-01A,27.25,45.75,30.75,33
D947-50B,31.75,26.5,31.75,59.4
D947-50T,60,3.5,60,88.22
D947-55B,26.75,26.88,9.38,51
D947-55T,108.38,30.13,44,153
D947-80,20.75,34.38,71.63,181
D947-81,21,54.75,71.63,230
D950-01,24.5,36.13,20,15
D950-25,38,30.13,76,111
D970-01,25,34.63,18.5,15.5
D970-01A,25.13,35.5,23.25,23.5
D970-09,16.13,18.13,64.13,43
D970-25,40,30.13,90.13,168
D970-60,18,32.25,64.5,151
D974-00,16.5,19.75,63.5,47
D974-01,25.38,39.63,20.5,20
D974-124,21.25,32.75,19.75,22
D974-13,33.75,36,75.75,151.8
D974-35,108,30,46,209
D974-60,18,36,60,132
D980-01,24.88,43.25,21.5,22.5
D980-55B,31.5,26.25,58.25,83
D980-55T,108.25,3.5,44,160
D980-60,19,38,67,198
D983-01,23.5,39.5,20.5,16
D983-02,25,41.5,21.88,24
D983-25,40.13,30.13,84,161
D983-50,60,30.13,60,127
D983-60,18,36,64,146
D984-01,24,35.5,20.5,19
D984-01A,23,36,23.5,22
D984-124,24.5,40.5,20,31.6
D984-32,42,36,66,154
D984-45,90,30.25,40,177
D984-60,18,32,60,118
D989-01,23.75,40,21,17
D989-25,90,30,40,163
D989-60,18.38,32.13,64,181
EB1011-113,83.07,15.31,62.64,81
EB1011-156,2.01,42.83,56.38,33
EB1011-157,2.01,42.6,63.39,38
EB1011-231,18.88,33.18,59,127
EB1011-245,19.75,50,29.88,105
EB1011-291,14.93,21.18,19.69,36
